beam,n_messages,n_classes,margin,accuracy,chance,ci_low,ci_high,p_value,n_test,n_discordant,significant_holm
9,275,5,0.14545454545454545,0.43636363636363634,0.2909090909090909,0.3090909090909091,0.5818181818181818,0.15158963203430176,55,24,False
1,384,5,0.012987012987012991,0.2857142857142857,0.2727272727272727,0.18181818181818182,0.38961038961038963,1.0,77,25,False
