fold,test_session,n_train,n_test,accuracy,macro_f1
1,A,3896,2266,0.21624007060900266,0.07111756168359942
2,C,4090,2072,0.24324324324324326,0.07917893639412628
3,B,4338,1824,0.27850877192982454,0.18022143616390718
mean,all,,,0.2438,0.1863
