satellite_id,message_count
92,1282
85,1277
87,1232
51,1188
109,1184
93,1171
24,1159
111,1157
38,1149
28,1131
104,1091
7,1034
36,1001
16,973
114,973
22,966
26,962
69,957
99,939
115,928
9,917
103,915
4,904
110,899
79,889
44,887
57,887
78,870
17,862
112,855
88,833
89,825
73,803
13,630
39,629
68,612
94,575
77,571
5,570
43,555
6,550
42,547
67,545
23,526
3,523
90,521
40,516
74,500
81,497
72,497
50,495
46,495
49,491
2,482
33,480
29,473
18,470
8,467
48,465
65,459
30,454
71,449
96,432
82,422
107,409
25,379
0,28
95,19
34,12
19,11
63,9
84,8
76,7
10,7
127,6
97,6
1,5
106,5
117,5
83,5
123,4
55,4
41,4
11,4
31,4
126,4
118,3
120,3
15,3
58,3
125,3
45,2
102,2
62,2
113,2
37,2
61,2
86,2
91,2
35,2
60,2
21,2
116,2
122,1
119,1
14,1
121,1
47,1
105,1
101,1
20,1
100,1
27,1
80,1
75,1
70,1
32,1
66,1
59,1
53,1
64,1
