global_index,satellite_id,mean_I,mean_Q,var_I,var_Q,std_I,std_Q,max_I,max_Q,min_I,min_Q,skew_I,skew_Q,kurt_I,kurt_Q,median_I,median_Q,iqr_I,iqr_Q,signal_power,iq_ratio,iq_correlation,papr,zero_crossing_rate,fft_mean_magnitude,peak_frequency,spectral_centroid,bandwidth,occupied_bandwidth
23,85,-0.0003982632400803719,-0.0003294853777539505,0.00016500617938935776,0.00017899543366404268,0.012845473108817665,0.013378917507184304,0.021906202659010887,0.024464527145028114,-0.0205379705876112,-0.022369131445884705,0.17005641133730792,0.14494381253131933,-1.5604602731847952,-1.5184043676961874,-0.0027061677537858486,-0.00202544080093503,0.025188623694702983,0.02586942818015814,0.0003442687872759534,0.9601279850869708,0.9597158899462345,3.029120540672156,0.0006364214928629876,0.16744341563989643,-2272.7272727272725,419.8463668144391,96103.07377288284,325000.0
30,85,0.000335531703555682,0.0006951042525626938,0.00012958199229930016,0.000113653890999189,0.011383408641496631,0.010660857892270632,0.022443877533078194,0.019480550661683083,-0.018355028703808784,-0.019523395225405693,0.04713214159070651,0.013281396048280079,-1.533534136709251,-1.4967087891786022,-6.0532069255714305e-05,0.0003637794579844922,0.022050699219107628,0.02049814397469163,0.0002438316347445109,1.0677760417151667,0.9515341196351237,3.13965717386274,0.001181925629602691,0.1531316355437382,-2272.7272727272725,-405.9375625005809,115107.65442251561,375000.0
34,85,0.0005416031505145508,0.0004703232373986349,9.23400034413622e-05,0.00010116019486098076,0.009609370605891012,0.010057842455565744,0.02049281634390354,0.018065379932522774,-0.019882183521986008,-0.01832103170454502,0.024285094951603307,0.002051427017421944,-1.37009893792742,-1.5205339084218323,0.0012004906311631203,0.0018474479438737035,0.01745782420039177,0.019294002326205373,0.00019401473622262735,0.9554107303175583,0.9394515983146425,3.245233112407432,0.0010000909173561233,0.13269411781064666,2272.7272727272725,1059.0552930198303,102987.21844882576,381818.18181818177
39,85,0.0004891258788512686,-0.0004298225436016749,0.0001273951244565464,7.554930003559936e-05,0.011286944868145073,0.008691910033795757,0.023933090269565582,0.016736220568418503,-0.019377321004867554,-0.015808384865522385,0.09425965133141626,0.14680092632302935,-1.437643109768965,-1.379699073791629,-0.0008351007418241352,-0.0016187644796445966,0.021825370378792286,0.01594574039336294,0.00020336841603649597,1.2985574890052176,0.9286571185195142,3.3489110828148156,0.001181925629602691,0.13843308147842906,-2272.7272727272725,492.18377140578787,103534.45194303751,377272.7272727273
40,85,-0.0005473632281818524,-0.0004323187675545238,0.00021782717270264214,0.00016854049321589668,0.014758969229002482,0.012982314632448895,0.025286339223384857,0.02268744818866253,-0.02375846914947033,-0.021514950320124626,0.06127240619813776,0.0991032360267523,-1.5552192538898642,-1.4846972246687609,-0.00017249492520932108,-0.001430580741725862,0.029262610943987966,0.024773902259767056,0.0003868541719388843,1.1368519133031096,0.9661951984278511,2.609436926946437,0.0008182562051095554,0.17860485207204865,2272.7272727272725,441.9194668872434,101104.84358126755,288636.36363636365
64,85,4.728821262196189e-05,-0.00024170048202916983,5.7180008359409124e-05,6.99738977816111e-05,0.007561746382907134,0.008365040213986487,0.015904001891613007,0.017043204978108406,-0.014263748191297054,-0.015039227902889252,0.15482311697889692,0.19144356451652522,-1.2257466650976525,-1.3881257705043983,-0.0010440628393553197,-0.0018138429732061923,0.013489784207195044,0.01559927430935204,0.00012721456143908634,0.9039701172343162,0.8432208071447621,3.731674783040131,0.0019092644785889627,0.11458336372825763,2272.7272727272725,565.0598773891699,92423.3971215859,429545.45454545453
69,85,0.00021761196029381258,0.00015522944042533544,0.00010580285179606984,0.00011026107830043541,0.010286051321866416,0.010500527524864425,0.01928696781396866,0.02053922228515148,-0.016935361549258232,-0.01840347982943058,0.15398070923882723,0.07122007551975013,-1.4636128928885026,-1.442677234529097,-0.002135900780558586,0.0006295741186477244,0.019142384408041835,0.019458501366898417,0.0002161353812409429,0.9795747211280437,0.9362895343628725,3.283344107996098,0.0010000909173561233,0.14276231418083168,-2272.7272727272725,-431.106583744752,110229.72671264134,379545.4545454545
70,85,-0.00012458748631589018,0.00024282881377235747,0.00013014246985097635,0.00014371147396106387,0.011408000256441808,0.011987972053732185,0.022542797029018402,0.020306497812271118,-0.02164570428431034,-0.02272368036210537,0.11949455065629143,0.03362411508596141,-1.4368155102964837,-1.536256567971526,-0.0005305995000526309,-0.00042776940972544253,0.021898131584748626,0.023361852625384927,0.00027392843168658486,0.9516205247484026,0.9478612314363276,2.7459796799257266,0.0006364214928629876,0.15527488257609537,-2272.7272727272725,-298.9481182655328,100160.9491486723,331818.18181818177
74,85,0.0003265370767434516,8.233854776733552e-05,0.00015645273888676851,0.00016783169094328662,0.012508106926580397,0.012954987107028961,0.025061240419745445,0.02320772595703602,-0.021033301949501038,-0.02023552544414997,0.11337787257532574,0.1582548819999937,-1.487822075147228,-1.4994084313286251,-0.000571181473787874,-0.0016215405194088817,0.02409457555040717,0.025286037009209394,0.0003243978359289917,0.9655051620849471,0.9531762851965898,3.153281452479185,0.0008182562051095554,0.16499684080442933,2272.7272727272725,563.0343712975904,103369.63652818892,340909.0909090909
76,85,0.0001989295529497626,8.409117520410157e-05,0.0001131314852898467,0.00013139239119676187,0.010636328562518492,0.011462652014117931,0.020361270755529404,0.020481117069721222,-0.01877463608980179,-0.019099704921245575,0.03320614425016488,0.1172661741131043,-1.541837231807544,-1.4766693447744517,0.0014163712039589882,-0.0012176057789474726,0.020678951172158122,0.021831799298524857,0.0002445705207793926,0.9279116690813173,0.9435533717980388,2.799761221188264,0.0010000909173561233,0.1482799357446954,-2272.7272727272725,459.0673039876692,107219.94644638577,370454.5454545454
78,85,-0.0006690560877723793,-0.0001645480528432379,0.00013223078165434994,0.0001371075549560578,0.011499164389395864,0.011709293529332067,0.018285052850842476,0.02153838239610195,-0.021530838683247566,-0.019792590290308,0.05425368581566506,0.13666636376087282,-1.5323239169405312,-1.5158412231779106,-0.00014289005775935948,-0.0014515439397655427,0.02261815988458693,0.02330354880541563,0.0002698130487206875,0.9820544988978349,0.959751326407313,2.6010153876217195,0.001181925629602691,0.15391414110387278,2272.7272727272725,-1028.3780740452776,106031.52474450502,336363.63636363635
81,85,0.0002728643743912006,-0.00017845031401781273,8.028583839716773e-05,8.02776866516593e-05,0.008960236514577488,0.008959781618525045,0.015934355556964874,0.018416620790958405,-0.016300201416015625,-0.01609688065946102,0.03515529403459584,0.12442656847398022,-1.4303765074578572,-1.3414183046968362,0.0004779787122970447,-0.0009855548269115388,0.016618038062006235,0.016336996341124177,0.00016066982453021199,1.0000507708861455,0.9180777147579144,3.079198754663623,0.0010000909173561233,0.1313074777687612,-2272.7272727272725,-280.7239795955219,120597.46132483894,406818.18181818177
87,85,5.808153066820151e-05,0.0002186094795893868,0.00017057002706807748,0.00018712544752598584,0.013060246056949979,0.013679380377999066,0.02312718704342842,0.026003466919064522,-0.01989913173019886,-0.020786380395293236,0.12311688161132991,0.09160141576716013,-1.538329224730739,-1.5172130073439563,-0.0012803944991901517,-0.0006361216073855758,0.025365962646901608,0.026837429031729698,0.00035774663816283436,0.9547395931730316,0.9592309446809302,3.0327353023018744,0.0010000909173561233,0.15900627364236355,-2272.7272727272725,-247.64261343662776,82084.68023060351,277272.72727272724
88,85,-6.393300321598293e-05,0.0008412616669382722,0.00022427436517594523,0.0003128186024013164,0.01497579263932114,0.017686678670720414,0.029034670442342758,0.03568044304847717,-0.023308290168642998,-0.028862278908491135,0.10304401200833861,-0.0031274332776637845,-1.5342280905154093,-1.5071963494742198,-0.00048587798664812,0.0022117748158052564,0.028709716396406293,0.03559421328827739,0.0005378047761984215,0.8467272413397187,0.9475250171708075,3.087720355910648,0.0008182562051095554,0.21042716425853347,4545.454545454545,527.6124604626724,103623.6250045416,272727.2727272727
92,85,-0.00011050362850305233,-0.0009474554961259194,0.000327845500782258,0.0002555647251234895,0.018106504377771487,0.015986391873199203,0.02922774665057659,0.02668229676783085,-0.028076594695448875,-0.02535693347454071,0.09505346039753507,0.047885521232971774,-1.6349498423915625,-1.655841893800574,-0.002761220559477806,-0.0011335896560922265,0.03625888982787728,0.03253854997456074,0.0005843201088747991,1.1326198257485856,0.9662737633303031,2.6293317540564947,0.0006364214928629876,0.22150419943322902,-2272.7272727272725,480.22147533248125,105520.57276664846,311363.63636363635
