feature,importance
envelope_kurt,0.041406051042237886
cfo_drift_hz_per_ms,0.04049007552948948
cfo_hz,0.04013188937595523
seg2_power_ratio,0.0398675863554263
iq_gain_imbalance_db,0.039777566672816074
seg1_power_ratio,0.039758998987532615
seg3_power_ratio,0.039495427241079316
skew_i_norm,0.039404083508499825
cfo_skew,0.03919611001643245
evm_proxy,0.03916866609131206
envelope_cv,0.03904596936966546
seg4_power_ratio,0.03879004968805586
envelope_slope,0.03860231339137532
dc_offset_i,0.038558810476620665
kurt_i_norm,0.03842717802095508
dc_offset_mag,0.03837023117167838
skew_q_norm,0.038358942845333976
papr_db,0.03834009392241581
cfo_std_hz,0.03832077840252384
dc_offset_q,0.03777376653634302
cfo_kurt,0.037601945012780906
cfo_iqr_hz,0.0372268267722638
kurt_q_norm,0.036924036944411445
phase_jitter,0.03634256455082644
constellation_spread_deg,0.03505047480367481
iq_phase_error_deg,0.03356956327029385
