label,n_features,accuracy,macro_f1,ci_low,ci_high,p_vs_chance
chance (majority class),0,0.20843471208434713,0.06899328859060402,0.18732765612327656,0.23195458231954583,
v1 (hand-crafted),28,0.24898621248986214,0.24513888205430273,0.22625709651257098,0.2733171127331711,0.020791800247607847
v2 (amplitude-invariant),26,0.24249797242497972,0.23835097203323313,0.21897810218978103,0.26682887266828875,0.0484140094447073
v1 + v2 combined,54,0.23195458231954583,0.22582194723949742,0.20924574209245742,0.25547445255474455,0.17534248563908778
