experiment,n_features,accuracy,macro_f1,detection_probability,false_alarm_probability,false_acceptance_rate,eer,delta_accuracy_pp,delta_macro_f1_pp,interpretation
All 28 v1 features,28,0.24493106244931062,0.24218424869221727,0.2441047775043239,0.7558952224956761,0.18900840959825105,0.47100567721005676,0.0,0.0,Primary waveform-feature baseline; leakage metadata excluded.
Without time-domain statistics,10,0.22465531224655313,0.2242680933540404,0.22413970634967018,0.7758602936503298,0.19411698278920303,0.4768856447688564,-2.0275750202757488,-1.7916155338176865,Tests dependence on basic I/Q distribution statistics.
Without amplitude/power,16,0.21897810218978103,0.21561869283720095,0.21810165074747823,0.7818983492525218,0.1954286630843688,0.4768856447688564,-2.595296025952959,-2.6565555855016325,Tests dependence on received-amplitude/power-sensitive information.
Without frequency-domain,23,0.2360097323600973,0.23198344641952096,0.23453959377492883,0.7654604062250712,0.1912133820927852,0.4748580697485807,-0.8921330089213309,-1.0200802272696319,"Tests contribution of FFT, frequency-offset and bandwidth descriptors."
Without I/Q relationship + temporal,25,0.24168694241686942,0.23780664688846617,0.24047470404569116,0.7595252959543088,0.18978044020845922,0.47384428223844277,-0.32441200324412056,-0.4377601803751102,Tests I/Q imbalance/correlation and zero-crossing information.
Top-10 RF features only,10,0.20681265206812652,0.202437992846634,0.20530734221121982,0.7946926577887802,0.1985744845245442,0.4843876723438767,-3.8118410381184105,-3.9746255845583276,Tests whether a compact training-selected subset retains performance.
