model,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1,n_train,n_test,n_features,n_classes
Dummy (chance),0.2084,0.1873,0.232,0.069,4930,1233,28,5
Logistic Regression,0.2311,0.2076,0.2539,0.2232,4930,1233,28,5
Decision Tree,0.2157,0.1938,0.2393,0.2156,4930,1233,28,5
Random Forest,0.236,0.2133,0.2595,0.2326,4930,1233,28,5
SVM (RBF),0.2238,0.2028,0.2474,0.2179,4930,1233,28,5
k-NN (k=5),0.2141,0.1914,0.2368,0.2121,4930,1233,28,5
Naive Bayes,0.2182,0.1946,0.2425,0.1886,4930,1233,28,5
Neural Net (MLP),0.2328,0.2092,0.2563,0.2308,4930,1233,28,5
