band,n_messages,n_test,accuracy,ci_low,ci_high,chance,n_classes
Low 0-30,2210,442,0.2239819004524887,0.18778280542986425,0.26018099547511314,0.2081447963800905,5
Medium 30-60,893,179,0.22346368715083798,0.16201117318435754,0.27932960893854747,0.21787709497206703,5
