satellite_id,window_length,start,end,duration,burst_fraction,snr_db,detected,full_std_I,full_std_Q,full_signal_power,full_papr,full_kurt_I,full_iq_corr,burst_std_I,burst_std_Q,burst_signal_power,burst_papr,burst_kurt_I,burst_iq_corr
92,11000,6,10999,10994,0.9994545454545455,12.245208927966772,True,0.012130980379879475,0.011002510786056519,0.00026822081417776644,4.415197372436523,-1.520398736000061,0.9496604206483992,0.012131662108004093,0.011001719161868095,0.000268220785073936,4.415197849273682,-1.520032525062561,0.9496470079827267
92,11000,1,10999,10999,0.9999090909090909,11.642150320624392,True,0.009849819354712963,0.012533171102404594,0.0002542391302995384,4.593425750732422,-1.5173648595809937,0.944984604695772,0.009849682450294495,0.012533023953437805,0.0002542317088227719,4.593552589416504,-1.5172830820083618,0.9449782186332197
92,11000,2,10999,10998,0.9998181818181818,11.866511263797406,True,0.01451125368475914,0.015369423665106297,0.0004467992694117129,4.2337141036987305,-1.5134053230285645,0.9741409716959533,0.014510235749185085,0.015369649045169353,0.00044677642290480435,4.233936309814453,-1.5131748914718628,0.9741505002553412
92,11000,2,10999,10998,0.9998181818181818,11.286787216834483,True,0.017942337319254875,0.0173521488904953,0.0006231110892258584,4.680809497833252,-1.5914312601089478,0.9773768938820856,0.01794200763106346,0.017351433634757996,0.0006230768049135804,4.68104887008667,-1.5912319421768188,0.9773725201991716
92,11000,6,10999,10994,0.9994545454545455,12.058834171148554,True,0.023813705891370773,0.02439751662313938,0.001162869855761528,4.155177116394043,-1.6164354085922241,0.9885142485785082,0.0238150916993618,0.024396810680627823,0.001162928412668407,4.154958248138428,-1.6160260438919067,0.988515760081799
92,11000,0,10999,11000,1.0,11.51854479230358,True,0.013698898255825043,0.013411144725978374,0.00036774243926629424,3.4847779273986816,-1.561784029006958,0.9572343229659169,0.013698898255825043,0.013411144725978374,0.00036774243926629424,3.4847779273986816,-1.561784029006958,0.9572343229659169
92,11000,2,10999,10998,0.9998181818181818,11.49643343327522,True,0.029171373695135117,0.028164703398942947,0.0016481756465509534,3.118617296218872,-1.668997883796692,0.9904712532995267,0.029170241206884384,0.028163984417915344,0.001648103236220777,3.118807792663574,-1.6688032150268555,0.9904692615000903
92,11000,3,10999,10997,0.9997272727272727,11.841502498533028,True,0.02672244980931282,0.0270039364695549,0.001443440211005509,3.732357978820801,-1.6378777027130127,0.9929204872605117,0.026721443980932236,0.027003295719623566,0.001443360117264092,3.7325990200042725,-1.6376127004623413,0.9929184168940146
92,11000,0,10991,10992,0.9992727272727273,10.00539930122256,True,0.009225336834788322,0.009368641301989555,0.00017302170454058796,5.0582594871521,-1.4823542833328247,0.9227254697723177,0.009224344976246357,0.009369665756821632,0.0001730284420773387,5.0580902099609375,-1.4817267656326294,0.9227031056191771
92,11000,6,10999,10994,0.9994545454545455,11.370424622668837,True,0.031134847551584244,0.031663015484809875,0.001972922822460532,3.2620253562927246,-1.6424946784973145,0.9941280395434843,0.03113379143178463,0.031662315130233765,0.001972856465727091,3.262171506881714,-1.6419570446014404,0.9941246242328466
92,11000,1,10999,10999,0.9999090909090909,11.59954788441323,True,0.02891215682029724,0.02866603620350361,0.0016578093636780977,3.765353202819824,-1.6861621141433716,0.9916879752518516,0.028911439701914787,0.02866581454873085,0.0016577524365857244,3.765502452850342,-1.6860851049423218,0.9916881419991952
92,11000,1,10996,10996,0.9996363636363637,11.45471224898904,True,0.01765519753098488,0.01751290075480938,0.0006184733938425779,3.851435661315918,-1.5918323993682861,0.9680981941997164,0.017654014751315117,0.017512964084744453,0.0006184316007420421,3.851729393005371,-1.5917118787765503,0.9680932558784731
92,11000,4,10996,10993,0.9993636363636363,12.027222288995699,True,0.0263691283762455,0.026064729318022728,0.0013748228084295988,4.651854038238525,-1.5626060962677002,0.9713350112605567,0.026368586346507072,0.026063358411192894,0.001374720479361713,4.652177333831787,-1.5622353553771973,0.9713293259242252
92,11000,2,10999,10998,0.9998181818181818,12.151783115186937,True,0.018449565395712852,0.019903717562556267,0.0007366661448031664,3.888484239578247,-1.6191264390945435,0.9797997402166432,0.018449006602168083,0.01990331895649433,0.0007366335485130548,3.888676166534424,-1.6189392805099487,0.9797952749188663
92,11000,8,10999,10992,0.9992727272727273,11.807551712986237,True,0.02252812869846821,0.020922021940350533,0.0009454763494431973,3.9662692546844482,-1.527273416519165,0.9583306661164609,0.02253088727593422,0.020918697118759155,0.0009454799583181739,3.966252565383911,-1.526877760887146,0.9583528078442237
92,11000,0,10999,11000,1.0,14.379997829882571,True,0.021110322326421738,0.02012038417160511,0.0008505368023179471,4.418186664581299,-1.464529275894165,0.9500025536385307,0.021110322326421738,0.02012038417160511,0.0008505368023179471,4.418186664581299,-1.464529275894165,0.9500025536385307
92,11000,0,10999,11000,1.0,12.284764244656746,True,0.019607052206993103,0.01991666480898857,0.0007811374380253255,3.866586208343506,-1.6066917181015015,0.9845113724943418,0.019607052206993103,0.01991666480898857,0.0007811374380253255,3.866586208343506,-1.6066917181015015,0.9845113724943418
92,11000,2,10999,10998,0.9998181818181818,11.584516890556351,True,0.023974621668457985,0.02640247531235218,0.0012718996731564403,3.6191084384918213,-1.6546103954315186,0.9879847035887038,0.023973485454916954,0.02640266716480255,0.0012718560174107552,3.619257926940918,-1.654447317123413,0.9879888819550827
92,11000,0,10999,11000,1.0,12.31957981805852,True,0.023799197748303413,0.023619046434760094,0.0011243039043620229,3.4970319271087646,-1.66193425655365,0.9892036651633432,0.023799197748303413,0.023619046434760094,0.0011243039043620229,3.4970319271087646,-1.66193425655365,0.9892036651633432
92,11000,2,10999,10998,0.9998181818181818,10.136319383711786,True,0.014360951259732246,0.01468249037861824,0.0004218332178425044,4.313811302185059,-1.5737861394882202,0.9688249134889174,0.014359431341290474,0.0146825285628438,0.0004217895620968193,4.314260482788086,-1.5736976861953735,0.9688374880206325
92,11000,0,10999,11000,1.0,11.545526312030134,True,0.02969803847372532,0.030778098851442337,0.0018292848253622651,3.6373541355133057,-1.6809707880020142,0.990816060213412,0.02969803847372532,0.030778098851442337,0.0018292848253622651,3.6373541355133057,-1.6809707880020142,0.990816060213412
92,11000,5,10998,10994,0.9994545454545455,11.785147437124957,True,0.011597753502428532,0.011948463506996632,0.0002773417509160936,4.8996076583862305,-1.4974664449691772,0.9626142878861166,0.011598966084420681,0.011947070248425007,0.00027733450406230986,4.899721145629883,-1.4973596334457397,0.96263989484635
92,11000,0,10999,11000,1.0,12.361579052534466,True,0.0187612846493721,0.017290178686380386,0.0006510691018775105,4.43100118637085,-1.6069341897964478,0.9726555808507056,0.0187612846493721,0.017290178686380386,0.0006510691018775105,4.43100118637085,-1.6069341897964478,0.9726555808507056
92,11000,0,10998,10999,0.9999090909090909,12.134478346852882,True,0.023087801411747932,0.02378530614078045,0.0010990985902026296,3.9579620361328125,-1.64985191822052,0.9912775660299201,0.023087570443749428,0.023784799501299858,0.0010990651790052652,3.9580941200256348,-1.649850606918335,0.9912770248370132
92,11000,0,10999,11000,1.0,11.817336815359198,True,0.02671567164361477,0.025562336668372154,0.001367323799058795,3.9446334838867188,-1.6369470357894897,0.9907084997395363,0.02671567164361477,0.025562336668372154,0.001367323799058795,3.9446334838867188,-1.6369470357894897,0.9907084997395363
92,11000,4,10999,10996,0.9996363636363637,13.017168109089337,True,0.027080316096544266,0.02810077928006649,0.0015235613100230694,3.389408588409424,-1.6090195178985596,0.99048573514777,0.02707994356751442,0.028100991621613503,0.0015235746977850795,3.3893702030181885,-1.6087000370025635,0.990482826385068
92,11000,4,10999,10996,0.9996363636363637,12.08968220857628,True,0.008502798154950142,0.007572167553007603,0.00012969266390427947,5.9924702644348145,-1.3990638256072998,0.9114531618023181,0.008500944823026657,0.007572613190859556,0.00012966999202035367,5.993229866027832,-1.3984365463256836,0.911486251529883
92,11000,0,10999,11000,1.0,10.495112976753537,True,0.017358016222715378,0.0177318025380373,0.0006158261094242334,4.3014140129089355,-1.621222734451294,0.9755216439962644,0.017358016222715378,0.0177318025380373,0.0006158261094242334,4.3014140129089355,-1.621222734451294,0.9755216439962644
92,11000,2,10991,10990,0.9990909090909091,11.639233135745588,True,0.01851438358426094,0.019147945567965508,0.0007096317713148892,3.832486629486084,-1.6141059398651123,0.9853049627671405,0.018512466922402382,0.019151141867041588,0.000709695101249963,3.832099199295044,-1.6139110326766968,0.9853372619768855
92,11000,2,10997,10996,0.9996363636363637,11.009845883391678,True,0.028527820482850075,0.027124006301164627,0.0015506984200328588,3.866800308227539,-1.6739888191223145,0.9901117251183587,0.028526030480861664,0.02712234854698181,0.0015505066839978099,3.8673365116119385,-1.673830509185791,0.990108519313722
92,11000,0,10996,10997,0.9997272727272727,12.140527063088333,True,0.017263613641262054,0.015215970575809479,0.0005296571180224419,4.329178810119629,-1.5970441102981567,0.9764235924239872,0.01726355589926243,0.01521639246493578,0.0005296699237078428,4.329073905944824,-1.5970138311386108,0.9764196973204061
92,11000,4,10994,10991,0.9991818181818182,11.344128922324286,True,0.007734459824860096,0.008653540164232254,0.00013485789531841874,5.166370868682861,-1.2283965349197388,0.8951656206373703,0.00773254781961441,0.008653316646814346,0.000134824585984461,5.167443752288818,-1.2276294231414795,0.8951044546990109
92,11000,0,10992,10993,0.9993636363636363,10.936937865233,True,0.011832899414002895,0.011515171267092228,0.0002727367973420769,4.382058143615723,-1.5434237718582153,0.9609406401974506,0.01183203887194395,0.011516374535858631,0.0002727513783611357,4.381825923919678,-1.5431201457977295,0.9609437003471423
