global_index,cfo_hz,cfo_std_hz,cfo_iqr_hz,cfo_drift_hz_per_ms,cfo_skew,cfo_kurt,iq_gain_imbalance_db,iq_phase_error_deg,dc_offset_i,dc_offset_q,dc_offset_mag,envelope_cv,envelope_slope,papr_db,envelope_kurt,constellation_spread_deg,evm_proxy,phase_jitter,seg1_power_ratio,seg2_power_ratio,seg3_power_ratio,seg4_power_ratio,skew_i_norm,skew_q_norm,kurt_i_norm,kurt_q_norm,satellite_id
23,-1014.4343793675996,42299.487761197466,23127.30877466651,-11450.42228899601,-1.4013774676733926,33.57896941911886,-0.35341743270291204,73.68175924683287,-0.021464530713593232,-0.017757724787887313,0.027857904953480166,0.3807999577592284,0.10903908862670171,4.813165559697453,-0.25295587588188884,45.363327264715586,0.3807999577592284,0.003469009385156461,0.8596732144701418,1.0525898441979278,0.9891042447345727,1.0986326965973583,0.1700564113373079,0.14494381253131916,-1.5604602731847945,-1.5184043676961874,85
30,-1296.4768983749248,71410.93711515938,29017.043158652064,16241.39946304033,-7.745774912668592,302.31927834471253,0.5696034424873977,72.08876554305064,0.021487630964315857,0.04451485061624024,0.04942964909692168,0.4061723654495627,0.01563114411968611,4.968822290833911,-0.2165382292039304,49.11340576309648,0.4061723654495627,0.0195951251074978,0.8861407640611717,1.0182275046666054,1.1163234343015547,0.9793082969706682,0.047132141590706736,0.01328139604827983,-1.5335341367092514,-1.4967087891786026,85
34,3490.7580641427635,54584.243083587025,31117.479489851055,42613.11539275681,-4.424826367643986,246.39123246972187,-0.39619770837249035,69.9596625261115,0.03888336330414508,0.03376595814255969,0.051498115219173114,0.3912789048772701,0.00981887028841787,5.112458986081894,-0.4662919566659536,50.481008779990766,0.3912789048772701,0.010489985326666333,0.9126744432604986,1.015378836265686,1.0584828389068988,1.0134638815669166,0.024285094951603216,0.0020514270174221507,-1.3700989379274195,-1.520533908421832,85
39,1111.0980281454401,55214.52825761555,31384.6985576892,-10745.30229005677,0.1321228554724098,54.16855613106034,2.2692236246256305,68.22644266088017,0.03429879703054786,-0.030140290709562846,0.0456600985741345,0.40791428587244494,0.034726964729822535,5.249036167081203,-0.4484859850213261,55.50937072914798,0.40791428587244494,0.005521509570342961,0.859820734854118,1.1239138902653143,1.0032255407211954,1.013039834159372,0.09425965133141646,0.14680092632302902,-1.4376431097689653,-1.3796990737916301,85
40,1738.244402453616,50641.05686755416,24685.403398154398,20576.733997040974,-18.62815048756142,1192.7171361870874,1.114077940651048,75.05974823370592,-0.027829280346215703,-0.02198013962532421,0.035462591311648604,0.40302076179974666,0.06730976070566157,4.165468039275714,-0.5682442280434437,42.80569093806183,0.40302076179974666,0.04064090960066734,0.9103859465848586,1.0422791120238486,0.9985257707354931,1.0488091706557996,0.06127240619813748,0.09910323602675228,-1.5552192538898642,-1.4846972246687609,85
64,-1078.273193231245,73618.13556172939,39029.92626649098,-20399.051579841693,-8.009894541915484,244.27052145486437,-0.8769185173663869,57.4818082131495,0.00419261019954208,-0.02142935522411984,0.021835641634877976,0.36981487207238223,0.0454868705193335,5.7190378778467865,-0.014867445727106965,72.67987927235552,0.36981487207238223,0.01853162740227003,0.985770126245252,0.9343709826348499,1.02923738789794,1.0506215032219577,0.1548231169788969,0.191443564516525,-1.2257466650976523,-1.388125770504398,85
69,-4013.608373147295,65781.9245604556,30899.04554797768,-216.28452012446198,-1.7887485362793965,458.69500100377434,-0.17924861582684543,69.43748683693198,0.014801980507331006,0.010558717214979486,0.01818200033454271,0.39597186328854983,-0.05547469055098503,5.163164009664483,-0.5588241021118368,52.8953366464329,0.39597186328854983,0.06941045603029379,0.9353277915774717,1.0095807389608877,1.109311561855898,0.9457799076057432,0.15398070923882715,0.07122007551975015,-1.4636128928885024,-1.4426772345290964,85
70,1043.0235955197265,54054.47572370655,26304.878801068302,44734.64551570425,13.11013357439151,372.2940626621348,-0.4307239916093665,71.41668105411713,-0.007527588464163624,0.014671741371237534,0.01649013592879975,0.3917265023432031,-0.06363434403758,4.3869731916119505,-0.5314617854900754,51.043045087511814,0.3917265023432031,0.013463977402236685,0.944691055385546,1.0117237825198053,1.0921996750082985,0.9513854870863493,0.11949455065629111,0.03362411508596154,-1.436815510296484,-1.536256567971526,85
74,-1124.0633210674778,44131.53508902892,24129.942155049997,16642.64906014915,-1.2393852040533095,30.21225731563704,-0.304907998353867,72.39727485996002,0.018129821421535037,0.004571557943795597,0.01869731442775222,0.39590147000245146,0.03759576573585691,4.98762736305589,-0.4959192354518773,47.127258801839005,0.39590147000245146,0.003539699081391358,0.8689584671415281,1.043950004034644,1.0883986653980418,0.9986928634257866,0.11337787257532554,0.15825488199999396,-1.4878220751472275,-1.4994084313286244,85
76,3416.6838386242434,60572.363844247026,28225.644037711747,56659.28328564272,7.659974892512877,254.92881251293568,-0.6498672742509625,70.65712701326531,0.012720297027218542,0.005377103150853476,0.013810112047176998,0.3876016020804378,-0.05162452980660595,4.471209939342659,-0.3572959648456724,48.72598212111537,0.3876016020804378,0.012368223887583352,0.94500805683967,1.0673497538295065,1.0197272396839094,0.9679149496469145,0.033206144250164764,0.11726617411310435,-1.5418372318075435,-1.4766693447744523,85
78,-724.3161042694344,55869.003198870836,24964.2800998713,-29385.134290220503,-11.853048037410307,754.9552771246314,-0.1572882093555626,73.68898699660545,-0.04073156078990357,-0.010017544328099492,0.04194533631700965,0.404425361795604,-0.0404351994444237,4.1514292149208,-0.578561664533749,46.798237039008946,0.404425361795604,0.035002125727792245,0.8806092199508575,1.147043740076635,1.0325926581338292,0.9397543818386784,0.05425368581566486,0.1366663637608732,-1.532323916940531,-1.5158412231779097,85
