global_index,ampm_correlation,ampm_slope_deg,ampm_q1_deg,ampm_q4_deg,ampm_range_deg,ampm_curvature,ccdf_1db,ccdf_3db,ccdf_6db,ccdf_9db,papr_deficit_db,acpr_lower_db,acpr_upper_db,acpr_mean_db,acpr_asymmetry_db,occupied_fraction,const_spread_q1_deg,const_spread_q2_deg,const_spread_q3_deg,const_spread_q4_deg,satellite_id
23,-0.05561397234842345,-5.780452368168768,-5.155981359046134,-7.87458019563589,6.24062578496756,-0.3529507061902787,0.3410909090909091,0.04863636363636364,0.0,0.0,-0.1868344403025466,-15.857845334743887,-13.834635004130682,-14.846240169437284,2.023210330613205,0.0011818181818181819,82.62877398369922,37.47842767644222,29.365362641103886,26.36303656464423,85
30,0.04056259964432405,3.9125896546672796,2.96426406935328,6.982713405847625,4.248476241741018,-0.022808425027158484,0.3407272727272727,0.06663636363636363,0.0,0.0,-0.031177709166088974,-17.049219009532106,-14.19448321787204,-15.621851113702073,2.8547357916600653,0.0011818181818181819,89.66333644483827,41.33636401165953,34.43831270610224,28.601071935862635,85
34,-0.008135627062694347,-0.8079176609658288,0.6929734506855368,0.21888533412006836,7.14746160605617,0.3603900796412252,0.30754545454545457,0.09618181818181819,0.0,0.0,0.11245898608189364,-15.15131739394925,-17.734209188174418,-16.442763291061834,-2.5828917942251675,0.0011818181818181819,82.85487882532584,51.90783834338604,34.890703153085354,27.744709535184846,85
39,0.22198760380986954,17.82861233925193,4.983464048649507,19.26829711050032,17.173076585361944,-0.06293582961024842,0.3569090909090909,0.07172727272727272,0.0,0.0,0.24903616708120335,-17.58091341841747,-15.984149960375742,-16.782531689396606,1.5967634580417283,0.0015454545454545454,103.87230501614061,51.367795088023044,37.448269972118176,33.050450941037376,85
40,0.12153801976173213,11.541944070499794,4.073020219620483,11.975190113403999,11.839645548156874,-0.36199136053450165,0.35063636363636363,0.063,0.0,0.0,-0.834531960724286,-14.16959062218417,-15.41667445754867,-14.79313253986642,-1.2470838353644993,0.0011818181818181819,74.94891100084114,37.34450593506792,27.01656969917813,24.628354893058937,85
64,-0.021660451017367688,-2.013173642829007,0.332733039147297,-2.9755858594493336,10.083050811434296,0.29240630125805317,0.2878181818181818,0.07009090909090909,0.0,0.0,0.7190378778467865,-15.645689923845618,-16.254887648754003,-15.950288786299812,-0.6091977249083858,0.0022727272727272726,111.3805473901558,71.35746253710641,62.782440450423515,51.65562546889895,85
69,0.009874508723332245,0.9656440976674233,-1.0767157211087903,-0.7646655189380225,2.728082297283944,-0.2396565822892984,0.3287272727272727,0.0730909090909091,0.0,0.0,0.16316400966448263,-18.77744307868106,-14.634514498162627,-16.705978788421845,4.142928580518433,0.0013636363636363637,99.29782390438554,42.55372781638425,39.06007785190358,31.535050534568573,85
70,-0.024647188788268323,-2.4240642339824867,-4.796561108854557,-6.200238499591687,4.609030328073614,0.06534030447437451,0.3512727272727273,0.077,0.0,0.0,-0.6130268083880495,-17.518856406916893,-14.560291411218415,-16.039573909067656,2.9585649956984774,0.0013636363636363637,93.78568066743462,43.58771341816665,32.70714533297498,31.01557567047073,85
74,-0.05686044851453353,-5.672436772416432,0.6640823093846923,-5.080920564697333,10.076644920956708,0.15651242323279824,0.3422727272727273,0.07263636363636364,0.0,0.0,-0.01237263694410995,-14.764866209709329,-16.44564314185099,-15.60525467578016,-1.6807769321416615,0.0011818181818181819,84.01621078114651,42.73772086605209,28.363560467332846,29.06377266123606,85
76,-0.13090689059386418,-13.166856196710533,1.9125207188012525,-12.030366550158046,13.942887268959298,-0.5366813382446274,0.3292727272727273,0.06363636363636363,0.0,0.0,-0.5287900606573412,-17.812006936888324,-14.206274399552456,-16.00914066822039,3.605732537335868,0.0013636363636363637,81.65797266976763,41.445331669735694,35.30466217455562,32.63107006804607,85
78,-0.12560207003552254,-12.450189496370296,4.176911130182073,-7.111957195381677,11.28886832556375,-0.40435511783357386,0.3533636363636364,0.05,0.0,0.0,-0.8485707850792004,-14.291725944525648,-17.298501696431803,-15.795113820478726,-3.0067757519061544,0.0011818181818181819,88.78503301351606,36.08936483812177,30.111430469451978,25.208092426074188,85
81,-0.010756608453932613,-1.0087943035747253,1.428901200181422,0.9363737722515103,2.8504449078697567,-0.26525376230107045,0.32945454545454544,0.09736363636363636,0.0,0.0,-0.11562277557407441,-15.85483521066209,-16.765969334777417,-16.310402272719752,-0.9111341241153266,0.0015454545454545454,107.9068664208165,50.60764743550264,46.479224110537345,36.0026417075973,85
87,-0.0725469574100016,-7.274962540127873,4.967287456195939,-4.874521718112926,10.315691520065558,-0.20383346098390445,0.3478181818181818,0.056818181818181816,0.0,0.0,-0.18165493337950345,-16.979403535043836,-14.673202966211258,-15.826303250627547,2.306200568832578,0.0011818181818181819,80.43263183652954,44.312668207695005,30.2508653250656,22.625529421097767,85
88,-0.2568947519502187,-23.355493903545167,-0.037928889336566476,-20.849604359472714,20.811675470136148,-0.051068879138204605,0.33736363636363637,0.055818181818181815,0.0,0.0,-0.10362039095463693,-14.425039233075214,-16.050824537492563,-15.237931885283889,-1.6257853044173487,0.0013636363636363637,97.31103004211722,50.63743954985851,28.888848920402765,25.790836466983034,85
