threshold,FRR,FAR
0.0,0.0,1.0
0.002,0.0024330900243309003,0.9924979724249797
0.004,0.0024330900243309003,0.9924979724249797
0.006,0.004866180048661801,0.9841849148418491
0.008,0.004866180048661801,0.9841849148418491
0.01,0.004866180048661801,0.9841849148418491
0.012,0.008110300081103,0.9730332522303325
0.014,0.008110300081103,0.9730332522303325
0.016,0.0113544201135442,0.962287104622871
0.018000000000000002,0.0113544201135442,0.962287104622871
0.02,0.0113544201135442,0.962287104622871
0.022,0.0186536901865369,0.9454582319545823
0.024,0.0186536901865369,0.9454582319545823
0.026000000000000002,0.021897810218978103,0.9288321167883211
0.028,0.021897810218978103,0.9288321167883211
0.03,0.021897810218978103,0.9288321167883211
0.032,0.031630170316301706,0.9130170316301703
0.034,0.031630170316301706,0.9130170316301703
0.036000000000000004,0.039740470397404706,0.8927412814274128
0.038,0.039740470397404706,0.8927412814274128
0.04,0.039740470397404706,0.8927412814274128
0.042,0.050283860502838604,0.8769261962692619
0.044,0.050283860502838604,0.8769261962692619
0.046,0.0681265206812652,0.8613138686131386
0.048,0.0681265206812652,0.8613138686131386
0.05,0.0681265206812652,0.8613138686131386
0.052000000000000005,0.08191403081914031,0.8436739659367397
0.054,0.08191403081914031,0.8436739659367397
0.056,0.09326845093268452,0.8254257907542579
0.058,0.09326845093268452,0.8254257907542579
0.06,0.09326845093268452,0.8254257907542579
0.062,0.11030008110300081,0.809610705596107
0.064,0.11030008110300081,0.809610705596107
0.066,0.1273317112733171,0.7917680454176804
0.068,0.1273317112733171,0.7917680454176804
0.07,0.1273317112733171,0.7917680454176804
0.07200000000000001,0.137875101378751,0.7725060827250608
0.074,0.137875101378751,0.7725060827250608
0.076,0.15085158150851583,0.7564882400648824
0.078,0.15085158150851583,0.7564882400648824
0.08,0.15085158150851583,0.7564882400648824
0.082,0.16058394160583941,0.7356042173560422
0.084,0.16058394160583941,0.7356042173560422
0.08600000000000001,0.170316301703163,0.7181670721816708
0.088,0.170316301703163,0.7181670721816708
0.09,0.170316301703163,0.7181670721816708
0.092,0.17842660178426603,0.699918896999189
0.094,0.17842660178426603,0.699918896999189
0.096,0.1978913219789132,0.6826845093268451
0.098,0.1978913219789132,0.6826845093268451
0.1,0.1978913219789132,0.6826845093268451
0.10200000000000001,0.2116788321167883,0.6640308191403081
0.10400000000000001,0.2116788321167883,0.6640308191403081
0.106,0.22060016220600162,0.6421330089213301
0.108,0.22060016220600162,0.6421330089213301
0.11,0.22060016220600162,0.6421330089213301
0.112,0.24249797242497972,0.6253041362530414
0.114,0.24249797242497972,0.6253041362530414
0.116,0.259529602595296,0.6117193836171938
0.11800000000000001,0.259529602595296,0.6117193836171938
0.12,0.259529602595296,0.6117193836171938
0.122,0.26926196269261965,0.5950932684509327
0.124,0.26926196269261965,0.5950932684509327
0.126,0.28548256285482565,0.5800892133008921
0.128,0.28548256285482565,0.5800892133008921
0.13,0.28548256285482565,0.5800892133008921
