model,scaled,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,min_fold_accuracy,max_fold_accuracy
Decision Tree,False,0.19003265954711757,0.011732623717493331,0.1699214077409692,0.015290968574453103,0.1808300395256917,0.21097560975609755
Neural Net (MLP),True,0.1697698834964572,0.03494293426282914,0.1585451404165553,0.030074905547954753,0.13446396123561477,0.22926829268292684
k-NN (k=5),True,0.1674704129534485,0.024456232923875037,0.1535111826977386,0.026263837907952493,0.1274703557312253,0.1975609756097561
Random Forest,False,0.15548877574101932,0.041294905747995034,0.1527339530911904,0.03478116062806251,0.11508176862507571,0.2329268292682927
Gaussian Naive Bayes,False,0.1309773379738208,0.07568108022257497,0.07554712064662143,0.04300792622748224,0.041181041181041184,0.24390243902439024
Logistic Regression,True,0.10032025861914022,0.042315914435353555,0.1083616610948698,0.034755106382795026,0.06238643246517262,0.18170731707317073
SVM (RBF),True,0.0682518488117487,0.04673219852244145,0.07625896189267348,0.045299507723541785,0.03230437903804738,0.15853658536585366
Baseline (most frequent),False,0.013901266870511015,0.017794558589732168,0.005364564718416217,0.006820888510317065,0.0006056935190793458,0.045454545454545456
