threshold,FRR,FAR
0.0,0.0,1.0
0.002,0.0,1.0
0.004,0.0,1.0
0.006,0.0,1.0
0.008,0.0,1.0
0.01,0.0,1.0
0.012,0.0,1.0
0.014,0.0,1.0
0.016,0.0,1.0
0.018000000000000002,0.0,1.0
0.02,0.0,1.0
0.022,0.0,0.9997972424979724
0.024,0.0,0.9997972424979724
0.026000000000000002,0.0,0.9997972424979724
0.028,0.0,0.9997972424979724
0.03,0.0,0.9997972424979724
0.032,0.0,0.9993917274939172
0.034,0.0,0.9993917274939172
0.036000000000000004,0.0,0.9991889699918897
0.038,0.0,0.9991889699918897
0.04,0.0,0.9991889699918897
0.042,0.0,0.9987834549878345
0.044,0.0,0.9987834549878345
0.046,0.0,0.9977696674776967
0.048,0.0,0.9977696674776967
0.05,0.0,0.9977696674776967
0.052000000000000005,0.0008110300081103001,0.9967558799675588
0.054,0.0008110300081103001,0.9967558799675588
0.056,0.0008110300081103001,0.9951338199513382
0.058,0.0008110300081103001,0.9951338199513382
0.06,0.0008110300081103001,0.9951338199513382
0.062,0.0008110300081103001,0.9912814274128142
0.064,0.0008110300081103001,0.9912814274128142
0.066,0.0024330900243309003,0.9888483373884833
0.068,0.0024330900243309003,0.9888483373884833
0.07,0.0024330900243309003,0.9888483373884833
0.07200000000000001,0.004866180048661801,0.9845904298459043
0.074,0.004866180048661801,0.9845904298459043
0.076,0.009732360097323601,0.9787104622871047
0.078,0.009732360097323601,0.9787104622871047
0.08,0.009732360097323601,0.9787104622871047
0.082,0.016220600162206,0.9734387672343877
0.084,0.016220600162206,0.9734387672343877
0.08600000000000001,0.017842660178426603,0.9671532846715328
0.088,0.017842660178426603,0.9671532846715328
0.09,0.017842660178426603,0.9671532846715328
0.092,0.024330900243309004,0.958029197080292
0.094,0.024330900243309004,0.958029197080292
0.096,0.0332522303325223,0.9478913219789132
0.098,0.0332522303325223,0.9478913219789132
0.1,0.0332522303325223,0.9478913219789132
0.10200000000000001,0.040551500405515,0.9369424168694241
0.10400000000000001,0.040551500405515,0.9369424168694241
0.106,0.046228710462287104,0.9249797242497972
0.108,0.046228710462287104,0.9249797242497972
0.11,0.046228710462287104,0.9249797242497972
0.112,0.05596107055961071,0.9083536090835361
0.114,0.05596107055961071,0.9083536090835361
0.116,0.07137064071370641,0.8917274939172749
0.11800000000000001,0.07137064071370641,0.8917274939172749
0.12,0.07137064071370641,0.8917274939172749
0.122,0.0851581508515815,0.8736820762368208
0.124,0.0851581508515815,0.8736820762368208
0.126,0.10543390105433902,0.856853203568532
0.128,0.10543390105433902,0.856853203568532
0.13,0.10543390105433902,0.856853203568532
0.132,0.129764801297648,0.8353609083536091
0.134,0.129764801297648,0.8353609083536091
0.136,0.14517437145174372,0.8144768856447688
0.138,0.14517437145174372,0.8144768856447688
0.14,0.14517437145174372,0.8144768856447688
0.14200000000000002,0.16139497161394972,0.7923763179237632
0.14400000000000002,0.16139497161394972,0.7923763179237632
0.146,0.18815896188158962,0.764801297648013
0.148,0.18815896188158962,0.764801297648013
0.15,0.18815896188158962,0.764801297648013
0.152,0.21573398215733983,0.7345904298459043
0.154,0.21573398215733983,0.7345904298459043
0.156,0.23682076236820762,0.7076236820762368
0.158,0.23682076236820762,0.7076236820762368
0.16,0.23682076236820762,0.7076236820762368
0.162,0.26520681265206814,0.6780210867802109
0.164,0.26520681265206814,0.6780210867802109
0.166,0.2984590429845904,0.6449716139497161
0.168,0.2984590429845904,0.6449716139497161
0.17,0.2984590429845904,0.6449716139497161
0.17200000000000001,0.3398215733982157,0.6111111111111112
0.17400000000000002,0.3398215733982157,0.6111111111111112
0.176,0.36658556366585565,0.5851581508515815
0.178,0.36658556366585565,0.5851581508515815
0.18,0.36658556366585565,0.5851581508515815
0.182,0.40145985401459855,0.5508921330089214
0.184,0.40145985401459855,0.5508921330089214
0.186,0.42903487429034876,0.5192619626926196
0.188,0.42903487429034876,0.5192619626926196
0.19,0.42903487429034876,0.5192619626926196
0.192,0.45093268450932683,0.48905109489051096
0.194,0.45093268450932683,0.48905109489051096
0.196,0.48256285482562855,0.45944849959448497
0.198,0.48256285482562855,0.45944849959448497
0.2,0.48256285482562855,0.45944849959448497
0.202,0.5077047850770479,0.4282238442822384
0.20400000000000001,0.5077047850770479,0.4282238442822384
0.20600000000000002,0.5352798053527981,0.4024736415247364
0.20800000000000002,0.5352798053527981,0.4024736415247364
0.21,0.5352798053527981,0.4024736415247364
0.212,0.5644768856447688,0.3781427412814274
0.214,0.5644768856447688,0.3781427412814274
0.216,0.5969180859691808,0.3523925385239254
0.218,0.5969180859691808,0.3523925385239254
0.22,0.5969180859691808,0.3523925385239254
0.222,0.616382806163828,0.32522303325223034
0.224,0.616382806163828,0.32522303325223034
0.226,0.6455798864557989,0.30210867802108676
0.228,0.6455798864557989,0.30210867802108676
0.23,0.6455798864557989,0.30210867802108676
0.232,0.6682887266828873,0.2773722627737226
0.234,0.6682887266828873,0.2773722627737226
0.23600000000000002,0.6926196269261963,0.25770478507704786
0.23800000000000002,0.6926196269261963,0.25770478507704786
0.24,0.6926196269261963,0.25770478507704786
0.242,0.7177615571776156,0.23560421735604217
0.244,0.7177615571776156,0.23560421735604217
0.246,0.740470397404704,0.2159367396593674
0.248,0.740470397404704,0.2159367396593674
0.25,0.740470397404704,0.2159367396593674
0.252,0.7623682076236821,0.19383617193836172
0.254,0.7623682076236821,0.19383617193836172
0.256,0.7769667477696675,0.17497972424979724
0.258,0.7769667477696675,0.17497972424979724
0.26,0.7769667477696675,0.17497972424979724
0.262,0.7964314679643146,0.15794809407948093
0.264,0.7964314679643146,0.15794809407948093
0.266,0.813463098134631,0.1413219789132198
0.268,0.813463098134631,0.1413219789132198
0.27,0.813463098134631,0.1413219789132198
0.272,0.8304947283049473,0.128345498783455
0.274,0.8304947283049473,0.128345498783455
0.276,0.8467153284671532,0.11435523114355231
0.278,0.8467153284671532,0.11435523114355231
0.28,0.8467153284671532,0.11435523114355231
0.28200000000000003,0.8572587185725872,0.10218978102189781
0.28400000000000003,0.8572587185725872,0.10218978102189781
0.28600000000000003,0.8686131386861314,0.09205190592051905
0.28800000000000003,0.8686131386861314,0.09205190592051905
0.29,0.8686131386861314,0.09205190592051905
0.292,0.8767234387672344,0.08313057583130576
0.294,0.8767234387672344,0.08313057583130576
0.296,0.8896999188969992,0.07664233576642336
0.298,0.8896999188969992,0.07664233576642336
0.3,0.8896999188969992,0.07664233576642336
0.302,0.902676399026764,0.07096512570965126
0.304,0.902676399026764,0.07096512570965126
0.306,0.910786699107867,0.06366585563665855
0.308,0.910786699107867,0.06366585563665855
0.31,0.910786699107867,0.06366585563665855
0.312,0.9197080291970803,0.05879967558799676
