case_id,scenario,message_id,true_satellite,claimed_satellite,rf_predicted_sat,rf_confidence,rf_match,hmac_pass,freshness_pass,higher_layer_pass,decision,decision_reason,higher_layer_reject,combined_reject,combined_flag,combined_accept,security_escalation,model_name,feature_set,split_type,random_seed,n_features,test_fraction,rf_n_estimators,rf_scaled,rf_test_accuracy
genuine:6:85,genuine,6,85,85,85,0.26,True,True,True,True,accept,Higher-layer authentication passed and RF-derived physical-layer evidence agreed with the claimed satellite,False,False,False,True,False,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
wrong_key:0:109,wrong_key,0,109,109,87,0.305,False,False,True,False,reject,HMAC authentication failed,True,True,False,False,True,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
tampered_payload:0:109,tampered_payload,0,109,109,87,0.305,False,False,True,False,reject,HMAC authentication failed,True,True,False,False,True,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
ordinary_identity_spoof:0:92,ordinary_identity_spoof,0,109,92,87,0.305,False,False,True,False,reject,HMAC authentication failed,True,True,False,False,True,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
stolen_key:0:92,stolen_key,0,109,92,87,0.305,False,True,True,True,flag,Higher-layer authentication passed but RF-derived physical-layer evidence disagreed with the claimed satellite,False,False,True,False,True,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
replay:0:109,replay,0,109,109,87,0.305,False,True,False,False,reject,Freshness/replay check failed,True,True,False,False,True,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
expired_freshness:0:109,expired_freshness,0,109,109,87,0.305,False,True,False,False,reject,Freshness/replay check failed,True,True,False,False,True,random_forest,v1_handcrafted_28,stratified_80_20,42,28,0.2,200,False,0.244931
