case_type,global_index,true_sat,claimed_sat,rf_match,confidence_band,hmac_pass,freshness_pass,decision,combined_caught,higher_layer_only_caught
genuine,108,51,51,False,high,True,True,reject,True,False
genuine,109,51,51,False,middle,True,True,flag,False,False
genuine,110,92,92,False,high,True,True,reject,True,False
genuine,111,51,51,False,high,True,True,reject,True,False
genuine,112,87,87,True,middle,True,True,flag,False,False
genuine,113,92,92,False,low,True,True,flag,False,False
genuine,114,87,87,True,low,True,True,flag,False,False
genuine,115,85,85,False,middle,True,True,flag,False,False
genuine,116,109,109,False,middle,True,True,flag,False,False
genuine,117,92,92,False,middle,True,True,flag,False,False
genuine,118,109,109,False,low,True,True,flag,False,False
genuine,119,85,85,True,high,True,True,accept,False,False
genuine,120,87,87,False,high,True,True,reject,True,False
genuine,121,85,85,True,high,True,True,accept,False,False
genuine,122,51,51,False,high,True,True,reject,True,False
genuine,123,92,92,True,low,True,True,flag,False,False
genuine,124,51,51,False,middle,True,True,flag,False,False
genuine,125,92,92,True,middle,True,True,flag,False,False
genuine,126,109,109,True,middle,True,True,flag,False,False
genuine,127,85,85,False,high,True,True,reject,True,False
genuine,128,85,85,False,low,True,True,flag,False,False
genuine,129,51,51,False,low,True,True,flag,False,False
genuine,130,92,92,False,middle,True,True,flag,False,False
genuine,131,87,87,True,middle,True,True,flag,False,False
genuine,132,85,85,True,high,True,True,accept,False,False
genuine,133,109,109,False,high,True,True,reject,True,False
genuine,134,92,92,False,middle,True,True,flag,False,False
genuine,135,51,51,False,high,True,True,reject,True,False
genuine,136,85,85,True,high,True,True,accept,False,False
genuine,137,51,51,False,middle,True,True,flag,False,False
genuine,138,87,87,False,high,True,True,reject,True,False
genuine,139,87,87,True,middle,True,True,flag,False,False
genuine,140,92,92,False,middle,True,True,flag,False,False
genuine,141,92,92,True,high,True,True,accept,False,False
genuine,142,85,85,False,low,True,True,flag,False,False
genuine,143,51,51,False,high,True,True,reject,True,False
genuine,144,92,92,False,middle,True,True,flag,False,False
genuine,145,92,92,True,high,True,True,accept,False,False
genuine,146,109,109,False,high,True,True,reject,True,False
genuine,147,87,87,False,low,True,True,flag,False,False
genuine,148,51,51,False,middle,True,True,flag,False,False
genuine,149,85,85,False,high,True,True,reject,True,False
genuine,150,109,109,False,middle,True,True,flag,False,False
genuine,151,92,92,True,low,True,True,flag,False,False
genuine,152,92,92,False,low,True,True,flag,False,False
genuine,153,109,109,True,low,True,True,flag,False,False
genuine,154,87,87,False,high,True,True,reject,True,False
genuine,155,51,51,False,low,True,True,flag,False,False
genuine,156,85,85,True,low,True,True,flag,False,False
genuine,157,92,92,False,middle,True,True,flag,False,False
genuine,158,51,51,False,middle,True,True,flag,False,False
genuine,159,51,51,False,middle,True,True,flag,False,False
genuine,160,92,92,False,low,True,True,flag,False,False
genuine,161,109,109,False,high,True,True,reject,True,False
genuine,162,109,109,False,low,True,True,flag,False,False
genuine,163,85,85,False,middle,True,True,flag,False,False
genuine,164,109,109,False,low,True,True,flag,False,False
genuine,165,51,51,False,middle,True,True,flag,False,False
genuine,166,85,85,False,middle,True,True,flag,False,False
genuine,167,51,51,False,middle,True,True,flag,False,False
genuine,168,92,92,False,middle,True,True,flag,False,False
genuine,169,109,109,False,high,True,True,reject,True,False
genuine,170,87,87,False,high,True,True,reject,True,False
genuine,171,109,109,False,low,True,True,flag,False,False
genuine,172,92,92,True,high,True,True,accept,False,False
genuine,173,109,109,False,middle,True,True,flag,False,False
genuine,174,87,87,False,middle,True,True,flag,False,False
genuine,175,51,51,False,low,True,True,flag,False,False
genuine,176,92,92,True,middle,True,True,flag,False,False
genuine,177,109,109,False,high,True,True,reject,True,False
genuine,178,109,109,False,middle,True,True,flag,False,False
genuine,179,109,109,False,low,True,True,flag,False,False
genuine,180,51,51,False,low,True,True,flag,False,False
genuine,181,85,85,False,high,True,True,reject,True,False
genuine,182,51,51,False,low,True,True,flag,False,False
genuine,183,109,109,False,low,True,True,flag,False,False
genuine,184,92,92,True,high,True,True,accept,False,False
genuine,185,85,85,False,middle,True,True,flag,False,False
genuine,186,85,85,False,low,True,True,flag,False,False
genuine,187,51,51,False,low,True,True,flag,False,False
genuine,188,87,87,False,middle,True,True,flag,False,False
genuine,189,51,51,False,low,True,True,flag,False,False
genuine,190,85,85,True,low,True,True,flag,False,False
genuine,191,109,109,False,high,True,True,reject,True,False
genuine,192,51,51,False,high,True,True,reject,True,False
genuine,193,87,87,False,low,True,True,flag,False,False
genuine,194,87,87,False,low,True,True,flag,False,False
genuine,195,87,87,False,middle,True,True,flag,False,False
genuine,196,85,85,False,middle,True,True,flag,False,False
genuine,197,51,51,False,middle,True,True,flag,False,False
genuine,198,109,109,False,high,True,True,reject,True,False
genuine,199,87,87,False,middle,True,True,flag,False,False
genuine,200,92,92,False,high,True,True,reject,True,False
genuine,201,85,85,True,low,True,True,flag,False,False
genuine,202,85,85,True,low,True,True,flag,False,False
genuine,203,51,51,False,low,True,True,flag,False,False
genuine,204,85,85,False,low,True,True,flag,False,False
genuine,205,51,51,False,low,True,True,flag,False,False
genuine,206,87,87,False,middle,True,True,flag,False,False
genuine,207,51,51,False,middle,True,True,flag,False,False
genuine,208,87,87,True,middle,True,True,flag,False,False
genuine,209,109,109,True,low,True,True,flag,False,False
genuine,210,92,92,False,high,True,True,reject,True,False
genuine,211,85,85,False,high,True,True,reject,True,False
genuine,212,92,92,False,high,True,True,reject,True,False
genuine,213,87,87,False,low,True,True,flag,False,False
genuine,214,109,109,False,middle,True,True,flag,False,False
genuine,215,85,85,False,high,True,True,reject,True,False
genuine,216,85,85,True,high,True,True,accept,False,False
genuine,217,51,51,False,high,True,True,reject,True,False
genuine,218,85,85,True,high,True,True,accept,False,False
genuine,219,109,109,True,high,True,True,accept,False,False
genuine,220,109,109,True,low,True,True,flag,False,False
genuine,221,87,87,False,high,True,True,reject,True,False
genuine,222,87,87,False,middle,True,True,flag,False,False
genuine,223,87,87,False,low,True,True,flag,False,False
genuine,224,109,109,False,middle,True,True,flag,False,False
genuine,225,85,85,False,low,True,True,flag,False,False
genuine,226,87,87,True,high,True,True,accept,False,False
genuine,227,109,109,False,low,True,True,flag,False,False
genuine,228,51,51,False,high,True,True,reject,True,False
genuine,229,87,87,False,middle,True,True,flag,False,False
genuine,230,92,92,False,high,True,True,reject,True,False
genuine,231,51,51,True,low,True,True,flag,False,False
genuine,232,109,109,False,middle,True,True,flag,False,False
genuine,233,87,87,False,middle,True,True,flag,False,False
genuine,234,109,109,True,high,True,True,accept,False,False
genuine,235,87,87,True,low,True,True,flag,False,False
genuine,236,85,85,False,low,True,True,flag,False,False
genuine,237,51,51,False,high,True,True,reject,True,False
genuine,238,51,51,False,low,True,True,flag,False,False
genuine,239,51,51,True,low,True,True,flag,False,False
genuine,240,51,51,False,middle,True,True,flag,False,False
genuine,241,87,87,True,low,True,True,flag,False,False
genuine,242,109,109,False,middle,True,True,flag,False,False
genuine,243,92,92,True,middle,True,True,flag,False,False
genuine,244,92,92,False,high,True,True,reject,True,False
genuine,245,109,109,True,middle,True,True,flag,False,False
genuine,246,87,87,False,high,True,True,reject,True,False
genuine,247,109,109,False,low,True,True,flag,False,False
genuine,248,51,51,False,high,True,True,reject,True,False
genuine,249,87,87,False,middle,True,True,flag,False,False
genuine,250,109,109,True,middle,True,True,flag,False,False
genuine,251,85,85,False,low,True,True,flag,False,False
genuine,252,109,109,False,high,True,True,reject,True,False
genuine,253,92,92,False,high,True,True,reject,True,False
genuine,254,92,92,True,middle,True,True,flag,False,False
genuine,255,109,109,False,low,True,True,flag,False,False
genuine,256,92,92,False,high,True,True,reject,True,False
genuine,257,51,51,False,low,True,True,flag,False,False
